time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2019-09-16T00:00:00Z,0.1,2997.96
2019-09-17T00:00:00Z,0.09,3005.7
2019-09-18T00:00:00Z,0.03,3006.73
2019-09-19T00:00:00Z,0.05,3006.79
2019-09-20T00:00:00Z,0.05,2992.07
2019-09-23T00:00:00Z,0.04,2991.78
2019-09-24T00:00:00Z,0.04,2966.6
2019-09-25T00:00:00Z,0.05,2984.87
2019-09-26T00:00:00Z,0.04,2977.62
2019-09-27T00:00:00Z,0.06,2961.79
2019-09-30T00:00:00Z,0.05,2976.74
2019-10-01T00:00:00Z,0.09,2940.25
2019-10-02T00:00:00Z,0.12,2887.61
2019-10-03T00:00:00Z,0.15,2910.63
2019-10-04T00:00:00Z,0.12,2952.01
2019-10-07T00:00:00Z,0.1,2938.79
2019-10-08T00:00:00Z,0.12,2893.06
2019-10-09T00:00:00Z,0.12,2919.4
2019-10-10T00:00:00Z,0.14,2938.13
2019-10-11T00:00:00Z,0.13,2970.27
2019-10-15T00:00:00Z,0.16,2995.68
2019-10-16T00:00:00Z,0.17,2989.69
2019-10-17T00:00:00Z,0.16,2997.95
2019-10-18T00:00:00Z,0.18,2986.2
2019-10-21T00:00:00Z,0.18,3006.72
2019-10-22T00:00:00Z,0.18,2995.99
2019-10-23T00:00:00Z,0.19,3004.52
2019-10-24T00:00:00Z,0.19,3010.29
2019-10-25T00:00:00Z,0.17,3022.55
2019-10-28T00:00:00Z,0.21,3039.42
2019-10-29T00:00:00Z,0.2,3036.89
2019-10-30T00:00:00Z,0.17,3046.77
2019-10-31T00:00:00Z,0.17,3037.56
2019-11-01T00:00:00Z,0.17,3066.91
2019-11-04T00:00:00Z,0.19,3078.27
2019-11-05T00:00:00Z,0.23,3074.62
2019-11-06T00:00:00Z,0.2,3076.78
2019-11-07T00:00:00Z,0.24,3085.18
2019-11-08T00:00:00Z,0.26,3093.08
2019-11-12T00:00:00Z,0.26,3091.84
2019-11-13T00:00:00Z,0.25,3094.04
2019-11-14T00:00:00Z,0.24,3096.63
2019-11-15T00:00:00Z,0.23,3120.46
2019-11-18T00:00:00Z,0.21,3122.03
2019-11-19T00:00:00Z,0.19,3120.18
2019-11-20T00:00:00Z,0.17,3108.46
2019-11-21T00:00:00Z,0.17,3103.54
2019-11-22T00:00:00Z,0.16,3110.29
2019-11-25T00:00:00Z,0.15,3133.64
2019-11-26T00:00:00Z,0.16,3140.52
2019-11-27T00:00:00Z,0.14,3153.63
2019-11-29T00:00:00Z,0.17,3140.98
2019-12-02T00:00:00Z,0.22,3113.87
2019-12-03T00:00:00Z,0.19,3093.2
2019-12-04T00:00:00Z,0.19,3112.76
2019-12-05T00:00:00Z,0.22,3117.43
2019-12-06T00:00:00Z,0.23,3145.91
2019-12-09T00:00:00Z,0.2,3135.96
2019-12-10T00:00:00Z,0.2,3132.52
2019-12-11T00:00:00Z,0.18,3141.63
2019-12-12T00:00:00Z,0.24,3168.57
2019-12-13T00:00:00Z,0.21,3168.8
2019-12-16T00:00:00Z,0.24,3191.45
2019-12-17T00:00:00Z,0.26,3192.52
2019-12-18T00:00:00Z,0.29,3191.14
2019-12-19T00:00:00Z,0.3,3205.37
2019-12-20T00:00:00Z,0.29,3221.22
2019-12-23T00:00:00Z,0.29,3224.01
2019-12-24T00:00:00Z,0.28,3223.38
2019-12-26T00:00:00Z,0.26,3239.91
2019-12-27T00:00:00Z,0.29,3240.02
2019-12-30T00:00:00Z,0.32,3221.29
2019-12-31T00:00:00Z,0.34,3230.78
2020-01-02T00:00:00Z,0.3,3257.85
2020-01-03T00:00:00Z,0.27,3234.85
2020-01-06T00:00:00Z,0.27,3246.28
2020-01-07T00:00:00Z,0.29,3237.18
2020-01-08T00:00:00Z,0.29,3253.05
2020-01-09T00:00:00Z,0.27,3274.7
2020-01-10T00:00:00Z,0.27,3265.35
2020-01-13T00:00:00Z,0.27,3288.13
2020-01-14T00:00:00Z,0.24,3283.16
2020-01-15T00:00:00Z,0.23,3289.3
2020-01-16T00:00:00Z,0.23,3316.82
2020-01-17T00:00:00Z,0.26,3329.63
2020-01-21T00:00:00Z,0.25,3320.79
2020-01-22T00:00:00Z,0.24,3321.76
2020-01-23T00:00:00Z,0.23,3325.55
2020-01-24T00:00:00Z,0.21,3295.48
2020-01-27T00:00:00Z,0.17,3243.63
2020-01-28T00:00:00Z,0.2,3276.25
2020-01-29T00:00:00Z,0.18,3273.41
2020-01-30T00:00:00Z,0.16,3283.67
2020-01-31T00:00:00Z,0.18,3225.53
2020-02-03T00:00:00Z,0.18,3248.92
2020-02-04T00:00:00Z,0.2,3297.6
2020-02-05T00:00:00Z,0.22,3334.7
2020-02-06T00:00:00Z,0.21,3345.79
2020-02-07T00:00:00Z,0.18,3327.72
2020-02-10T00:00:00Z,0.19,3352.09
2020-02-11T00:00:00Z,0.18,3357.76
2020-02-12T00:00:00Z,0.18,3379.46
2020-02-13T00:00:00Z,0.17,3373.95
2020-02-14T00:00:00Z,0.17,3380.17
2020-02-18T00:00:00Z,0.14,3370.3
2020-02-19T00:00:00Z,0.14,3386.16
2020-02-20T00:00:00Z,0.13,3373.24
2020-02-21T00:00:00Z,0.12,3337.76
2020-02-24T00:00:00Z,0.12,3225.9
2020-02-25T00:00:00Z,0.13,3128.22
2020-02-26T00:00:00Z,0.17,3116.4
2020-02-27T00:00:00Z,0.19,2978.77
2020-02-28T00:00:00Z,0.27,2954.23
2020-03-02T00:00:00Z,0.26,3090.24
2020-03-03T00:00:00Z,0.31,3003.38
2020-03-04T00:00:00Z,0.35,3130.13
2020-03-05T00:00:00Z,0.33,3023.95
2020-03-06T00:00:00Z,0.25,2972.38
2020-03-09T00:00:00Z,0.16,2746.57
2020-03-10T00:00:00Z,0.26,2882.24
2020-03-11T00:00:00Z,0.32,2741.39
2020-03-12T00:00:00Z,0.38,2480.65
2020-03-13T00:00:00Z,0.45,2711.03
2020-03-16T00:00:00Z,0.37,2386.14
2020-03-17T00:00:00Z,0.55,2529.2
2020-03-18T00:00:00Z,0.64,2398.11
2020-03-19T00:00:00Z,0.68,2409.4
2020-03-20T00:00:00Z,0.55,2304.93
2020-03-23T00:00:00Z,0.48,2237.41
2020-03-24T00:00:00Z,0.46,2447.34
2020-03-25T00:00:00Z,0.54,2475.57
2020-03-26T00:00:00Z,0.53,2630.08
2020-03-27T00:00:00Z,0.47,2541.48
2020-03-30T00:00:00Z,0.47,2626.66
2020-03-31T00:00:00Z,0.47,2584.6
2020-04-01T00:00:00Z,0.39,2470.51
2020-04-02T00:00:00Z,0.4,2526.91
2020-04-03T00:00:00Z,0.39,2488.66
2020-04-06T00:00:00Z,0.4,2663.69
2020-04-07T00:00:00Z,0.47,2659.42
2020-04-08T00:00:00Z,0.5,2749.99
2020-04-09T00:00:00Z,0.5,2789.83
